hierarchy;SIDC;fullpath;name;icon-png;icon-svg
1.X.2.1.2.9;S*A*MHT---;AIR TRACK|MILITARY|ROTARY WING|TRAINER;TRAINER;1.X.2.1.2.9.png;1.X.2.1.2.9.svg
1.X.2.1.2.10;S*A*MHO---;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;1.X.2.1.2.10.png;1.X.2.1.2.10.svg
1.X.2.1.2.11;S*A*MHM---;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCE (SOF);SPECIAL OPERATIONS FORCE (SOF);1.X.2.1.2.11.png;1.X.2.1.2.11.svg
1.X.2.1.2.12;S*A*MHD---;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);1.X.2.1.2.12.png;1.X.2.1.2.12.svg
1.X.2.1.2.13;S*A*MHK---;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;1.X.2.1.2.13.png;1.X.2.1.2.13.svg
1.X.2.1.2.14;S*A*MHJ---;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTER MEASURES (ECM/JAMMER);ELECTRONIC COUNTER MEASURES (ECM/JAMMER);1.X.2.1.2.14.png;1.X.2.1.2.14.svg
1.X.2.1.3;S*A*ML----;AIR TRACK|MILITARY|LIGHTER THAN AIR;LIGHTER THAN AIR;1.X.2.1.3.png;1.X.2.1.3.svg
1.X.2.2;S*A*W-----;AIR TRACK|WEAPON;WEAPON;1.X.2.2.png;1.X.2.2.svg
1.X.2.2.1;S*A*WM----;AIR TRACK|WEAPON|MISSILE IN FLIGHT;MISSILE IN FLIGHT;1.X.2.2.1.png;1.X.2.2.1.svg
1.X.2.2.1.1;S*A*WMS---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE;SURFACE/LAND LAUNCHED MISSILE;1.X.2.2.1.1.png;1.X.2.2.1.1.svg
1.X.2.2.1.1.1;S*A*WMSS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE|SURFACE TO SURFACE MISSILE (SSM);SURFACE TO SURFACE MISSILE (SSM);1.X.2.2.1.1.1.png;1.X.2.2.1.1.1.svg
1.X.2.2.1.1.2;S*A*WMSA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SURFACE/LAND LAUNCHED MISSILE|SURFACE TO AIR MISSILE (SAM);SURFACE TO AIR MISSILE (SAM);1.X.2.2.1.1.2.png;1.X.2.2.1.1.2.svg
1.X.2.2.1.2;S*A*WMA---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE;AIR LAUNCHED MISSILE;1.X.2.2.1.2.png;1.X.2.2.1.2.svg
1.X.2.2.1.2.1;S*A*WMAS--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR TO SURFACE MISSILE (ASM);AIR TO SURFACE MISSILE (ASM);1.X.2.2.1.2.1.png;1.X.2.2.1.2.1.svg
